Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1000433,-0.01618932,0.01206386,-1.140379,-0.00303272,-0.005499137,0.01890975,0.003621153,-0.001678451,-1.927522,0.008254301,0.01048079,8.879509e-05
1002932,-0.01587223,0.01181198,-1.14638,-0.003010948,-0.00546652,0.01890941,0.003789129,-0.001799632,-1.928014,0.008154732,0.01067826,0.0001197929
1005431,-0.01586474,0.01180792,-1.150236,-0.002995953,-0.005445987,0.01890841,0.003703587,-0.002262052,-1.928931,0.008088096,0.01079272,0.0001620164
1007930,-0.01585386,0.01180144,-1.156025,-0.002974538,-0.005414187,0.01890845,0.0035507,-0.002054866,-1.930344,0.007994927,0.01091544,0.0002544479
1010429,-0.01584679,0.01179734,-1.159887,-0.002960548,-0.005392878,0.01890703,0.003520896,-0.002043601,-1.931031,0.007923838,0.01097892,0.0003138976
1012928,-0.01583588,0.01179098,-1.165681,-0.002937812,-0.005361027,0.01890532,0.00374638,-0.002196209,-1.931974,0.007839258,0.01105179,0.0003568488
1015427,-0.0155368,0.0115521,-1.169754,-0.002924455,-0.005341324,0.01890478,0.004136839,-0.002057643,-1.932898,0.007791922,0.01106945,0.0003741466
1017926,-0.01552413,0.0115465,-1.175554,-0.002904078,-0.00530938,0.01890382,0.004313649,-0.001673012,-1.933721,0.007713608,0.01106971,0.0003839008
1020425,-0.01551524,0.01154312,-1.179422,-0.002890273,-0.005288904,0.01890316,0.004574502,-0.001706616,-1.934626,0.007662947,0.01105848,0.0003856273
1022924,-0.01550058,0.0115373,-1.185228,-0.002869677,-0.005257178,0.01890297,0.005198065,-0.002172224,-1.935856,0.007574175,0.01101192,0.0004144976
1025423,-0.01548982,0.01153265,-1.1891,-0.002855693,-0.005235254,0.01890139,0.005556696,-0.002477575,-1.936488,0.007510227,0.01099796,0.000434233
1027922,-0.01519412,0.01130131,-1.19511,-0.002834898,-0.005202942,0.01890055,0.006046767,-0.002715223,-1.937598,0.007444396,0.01100435,0.0004509388
1030421,-0.01518214,0.01129632,-1.198986,-0.002820989,-0.005181302,0.01889967,0.005930996,-0.002278685,-1.93814,0.007413367,0.01101766,0.0004504992
1032920,-0.0151644,0.01128984,-1.204801,-0.002800136,-0.005148186,0.01889871,0.005894364,-0.002043015,-1.939149,0.007382831,0.01106445,0.0004394945
1035419,-0.01515281,0.01128577,-1.20868,-0.002785849,-0.005126353,0.0188971,0.005694849,-0.002019041,-1.939867,0.007370644,0.01110658,0.0004191344
1037918,-0.01513553,0.01127946,-1.214503,-0.002765863,-0.005092678,0.01889696,0.005828559,-0.002193623,-1.941608,0.007355849,0.01118423,0.000396279
1040417,-0.01485907,0.01106263,-1.219001,-0.002752645,-0.00507071,0.01889511,0.005697269,-0.002116323,-1.942643,0.007335898,0.01123458,0.0003831252
1042916,-0.01484205,0.01105582,-1.22483,-0.002733174,-0.005037131,0.01889254,0.005649929,-0.002428072,-1.943645,0.007299716,0.01131838,0.0003435495
1045415,-0.01483083,0.01105083,-1.228719,-0.002721034,-0.005014735,0.01889067,0.005570057,-0.002559972,-1.944654,0.007251261,0.01136817,0.0003234292
1047914,-0.01481405,0.011044,-1.234555,-0.002702387,-0.004980311,0.01888918,0.005614998,-0.001989963,-1.946067,0.007157749,0.01145068,0.0003066837
1050413,-0.01480236,0.01104014,-1.238448,-0.0026916,-0.004958789,0.01888656,0.006077522,-0.001868671,-1.946867,0.007073714,0.01149926,0.0002965087
