Time_us,accel_x,accel_y,accel_z,pos_x,pos_y,pos_z
694281,0.105196305803794,-0.213589088993557,0.267415774265712,-0.1396708,-1.637588,1.55299
794390,0.182233502382853,-0.00051260873926865,-0.267546083820723,-0.1742117,-1.617895,1.626967
845659,0.18576700034996,-0.0796045713221082,-0.587149374652675,-0.1901988,-1.611107,1.670977
876025,0.148045046034743,-0.153543071517873,-0.99893497159877,-0.1998858,-1.610105,1.685981
945924,0.272271480698797,-0.141655657514921,-0.505753714046495,-0.2187405,-1.603599,1.760909
995637,0.0697194371940522,-0.418234008348753,-0.573662214246152,-0.2310821,-1.599224,1.812933
1026199,0.183581434881616,-0.377094710944725,-1.23125225757481,-0.2383445,-1.597315,1.841617
1058544,0.159714267014491,-0.373825782780802,-1.10662039872421,-0.2486141,-1.593865,1.870656
1107892,0.256999631600955,-0.273091357798279,-0.535008284832821,-0.2647384,-1.587146,1.922349
1147347,0.233466683581478,-0.482071295891506,-0.880585859993171,-0.276318,-1.581349,1.97033
1188827,0.397058093814764,-0.211611241720399,-0.812574863264997,-0.2874485,-1.575376,2.019978
1219858,0.215161757929148,-0.540503341149845,-0.981369564320078,-0.2977509,-1.570879,2.045545
1273705,0.202239414920151,-0.340620626959261,-0.515913717692913,-0.3129,-1.562699,2.102044
1322156,0.303781217913267,-0.220461101819274,-0.606000939767597,-0.3265155,-1.554255,2.15941
1352825,0.292022824784028,-0.578999666697188,-0.890135399753414,-0.3346292,-1.549357,2.189899
1395849,0.341711614272951,-0.441109920207027,-0.711118864182578,-0.3432876,-1.542127,2.241387
1437409,0.209559192564646,-0.378178183654907,-0.60806107750542,-0.3501872,-1.53563,2.286549
1478035,0.151809334065776,-0.313543079272429,-0.736847795959972,-0.3565174,-1.529552,2.324256
1530031,0.0389909855626235,-0.197320389354033,-0.660618567765335,-0.3616178,-1.521819,2.376714
1570044,0.241250117554994,-0.192468047207651,-0.884472437958354,-0.3643017,-1.516199,2.421003
1602830,0.188092124671144,-0.255630872247553,-1.20338573432253,-0.3660233,-1.511879,2.449208
1634907,0.285573050680165,-0.315451415673698,-1.06640425036903,-0.3701034,-1.507086,2.477111
1674754,0.21526332231089,-0.206442022034711,-0.722386803739241,-0.3747734,-1.501205,2.519339
1728562,0.24126231004906,-0.327821713595408,-0.502384441804467,-0.3796549,-1.494078,2.572637
1778241,0.431077835733538,-0.347744803774964,-0.617959363489589,-0.3833015,-1.487801,2.623662
1822478,0.32949968454811,-0.323760483677999,-0.592748487718075,-0.3862739,-1.481696,2.658417
1872833,0.13898605980133,-0.480358951400335,-0.491185771199453,-0.3880624,-1.475023,2.701684
1925544,0.197063012050196,-0.389971717894756,-0.729696574903105,-0.3882944,-1.468673,2.74947
1955993,0.0934338541293388,-0.445531296081309,-1.09200759557181,-0.3884379,-1.465007,2.771486
2009063,0.0818464660699911,-0.397940255373425,-1.11809151344094,-0.3865313,-1.459705,2.819151
2070585,0.380867585572134,-0.167510439343488,-0.407440651982218,-0.3817947,-1.455392,2.865887
2100569,0.256525764023071,-0.324324323462372,-0.952666784460655,-0.3787864,-1.453538,2.893442
2144745,0.296258648050436,-0.161549388095665,-0.853788924840667,-0.3742241,-1.450795,2.923369
2174045,0.283111857846079,-0.397076693739611,-1.08757979908302,-0.3707809,-1.449051,2.95032
2217898,0.2012146358332,-0.386115586803587,-0.922572136133652,-0.3655773,-1.446384,2.981402
2249538,0.39440333384064,-0.125455176076947,-0.875729907983323,-0.3621886,-1.442782,2.996756
2289912,0.276584706928611,-0.357564349751343,-0.734786422009813,-0.3574452,-1.438357,3.027485
2322079,0.493408428026098,-0.202244244869894,-0.811657345792231,-0.3535022,-1.434713,3.056985
2362925,0.230124893911974,-0.514830979981514,-0.554540499372968,-0.3489197,-1.429165,3.077158
2392076,0.321858967296149,-0.288483754402669,-1.18321179843966,-0.3455034,-1.425235,3.101209
2427555,0.252253693428951,-0.328891041867493,-0.913150583764089,-0.3417297,-1.420237,3.119664
2457246,0.251291995086167,-0.353254288999197,-1.1118539665911,-0.3375016,-1.415209,3.142345
2497413,0.262058514504414,-0.295104932607331,-0.681364123273169,-0.3326363,-1.408355,3.16709
2541527,0.306501826111104,-0.32639722967503,-0.706831461901681,-0.3276619,-1.400163,3.185975
2581092,0.460358786459283,-0.302365253732943,-0.857705435425924,-0.3236862,-1.392046,3.210514
2612713,0.492491663130255,-0.19179967621612,-0.924263737961769,-0.3191446,-1.385505,3.225787
2655911,0.401066136428746,-0.253672799136345,-1.07898490654437,-0.3136171,-1.376456,3.251157
2705988,0.364785848685642,-0.182356796456423,-0.489572344248131,-0.307336,-1.364828,3.278669
2739247,0.392822246873741,-0.196319509670273,-1.1986199321396,-0.3034757,-1.356507,3.293252
2789451,0.255110037838352,-0.500458447527707,-0.617142141935077,-0.2990328,-1.342984,3.319905
2833135,0.2008240234314,-0.579259826005821,-0.928859879880187,-0.2939251,-1.333576,3.338229
2873909,0.281710314444236,-0.417450476588943,-0.974360810524859,-0.2903194,-1.322827,3.359435
2923887,0.220811149645311,-0.0613869350875644,-0.809291623648546,-0.2866516,-1.30943,3.383987
2977088,0.238635633246812,0.0510230102524958,-0.571688857566153,-0.2837315,-1.293836,3.407156
3028648,0.154995707047559,-0.218292474714124,-0.563106897689292,-0.2786497,-1.278856,3.42502
3071066,0.174477929742852,-0.32379505404581,-0.818724004434544,-0.2760809,-1.264312,3.445084
3111472,0.367913082843454,-0.00145332405639101,-0.832323724242505,-0.2741661,-1.249786,3.463194
3144136,0.361525546789246,-0.213247638932832,-0.897461669106157,-0.2724056,-1.238728,3.474876
3174478,0.514787556484728,0.0657544271576368,-0.89027716938347,-0.2727069,-1.224348,3.491686
3206996,0.257465458857323,-0.298732885761216,-0.968437495731326,-0.2720029,-1.212003,3.499699
3236003,0.107343231767379,-0.538088723766345,-1.3015276154589,-0.2735661,-1.199054,3.513869
3269089,0.173175788476661,-0.412681384162067,-1.02792994244122,-0.2750569,-1.184054,3.52217
3289024,0.0521273072333675,-0.710242198072357,-1.52874432958625,-0.2761246,-1.174944,3.526993
3309093,0.180151365164166,-0.456421811444398,-1.48785155549906,-0.2781097,-1.16463,3.537936
3351798,0.353514474192471,-0.130681659310402,-0.798732043501449,-0.2811142,-1.144394,3.551017
3392013,0.388156935416748,0.0352913339527886,-0.743716759165391,-0.2859607,-1.120339,3.566392
3423833,0.273698752398926,-0.100596114730814,-0.974879893638285,-0.2880882,-1.104536,3.572815
3453342,0.289802429968601,-0.0909008393294929,-1.03847546108252,-0.2908773,-1.088219,3.582444
3486916,0.23322480814075,-0.102710884745888,-1.09319576693614,-0.2933851,-1.070545,3.586564
3547524,-0.00233152007075298,-0.22847187021416,-0.471452458129833,-0.2994652,-1.036189,3.602247
3600113,0.021019757132912,-0.300064006991695,-0.691436992910823,-0.3059027,-1.00368,3.616721
3631046,0.0200127685952657,-0.304256746043146,-0.99892333902765,-0.3100034,-0.9843232,3.626802
3665752,0.132989319868185,-0.189556050998786,-0.927170463892377,-0.3132783,-0.9656287,3.632458
3704607,0.0722309648819076,-0.129591736794008,-0.840137843583149,-0.3187302,-0.9390002,3.641203
3744793,0.0973740480031037,-0.054437731517943,-0.936163562815657,-0.3235363,-0.9140109,3.6461
3777425,0.0569660528370378,-0.324834319567678,-1.06864841218619,-0.3287285,-0.891337,3.658824
3807906,0.0848353252588191,-0.0782071735457184,-1.07934676626787,-0.3327492,-0.871348,3.659639
3848955,0.123951748403192,-0.0914738936814728,-0.750626443326688,-0.3400671,-0.843127,3.669061
3891847,0.239622082993773,-0.0785212287207465,-0.775802529857575,-0.3483781,-0.813768,3.67223
3941830,0.135705882215,-0.228515284208417,-0.686548922559874,-0.3584067,-0.7771968,3.680012
3984555,0.111840760461782,-0.195820404145328,-0.876238591624188,-0.3675472,-0.7440687,3.687613
4016160,0.205534352159689,-0.20852393258045,-1.11257122780372,-0.3740079,-0.7211266,3.686832
4045939,0.30314315056943,-0.106881527561086,-1.03469983881248,-0.381017,-0.6960854,3.69403
4078701,0.232753012423815,-0.301393404799586,-0.914387664460121,-0.3878983,-0.6721138,3.696477
4128941,0.0937447663510107,-0.197768999361499,-0.570051957971819,-0.4002527,-0.6269286,3.705013
4168967,0.0414328204743227,-0.288703464329544,-1.05845675964311,-0.4096457,-0.5914141,3.714611
4204906,0.178164979416521,-0.218790815561294,-1.15135020694731,-0.4178163,-0.5605929,3.717014
4233915,0.163175041350962,-0.219963276728821,-1.11119264771968,-0.4254682,-0.5313152,3.72429
4274154,0.126595358469317,-0.268566884442061,-0.802038935101782,-0.4354448,-0.4932568,3.728789
4307049,0.115732678923866,-0.257928992318417,-0.931270235401372,-0.4433891,-0.4602672,3.738107
4347104,0.14571418596962,-0.203378202877798,-0.891196443933709,-0.4529676,-0.4195178,3.74507
4377240,0.141548207961691,-0.121623624783975,-1.02913463326754,-0.4600818,-0.3884293,3.748498
4421127,0.107136649190571,-0.0593924134904046,-0.778372305200905,-0.4701161,-0.3423222,3.756874
4461541,0.0875144661950693,-0.0979762976290643,-0.825434591843258,-0.4802398,-0.2988158,3.757459
4504196,0.00772919766879106,-0.258621296633632,-0.940797460095806,-0.490297,-0.2504061,3.764265
4544160,0.0389932979767254,-0.225260003201543,-0.863099212947984,-0.4996123,-0.2042985,3.770357
4574717,0.0522015350523519,-0.261545822752481,-1.17824658054741,-0.5066944,-0.169178,3.773356
4607348,0.196601564074573,-0.182403736367387,-0.996496745932539,-0.5139959,-0.1295698,3.783847
4638817,0.131733101935067,-0.208494395007556,-1.27622022928495,-0.5225636,-0.09099122,3.786345
4668425,0.210001270951557,-0.110223495584445,-1.13338810256624,-0.5303018,-0.05411781,3.793748
4701246,0.00463876141997694,-0.200992614485287,-1.11415021820754,-0.5386447,-0.01688952,3.796144
4741578,0.000899618835353211,-0.219095312270989,-0.799288905819086,-0.5494057,0.03799327,3.804168
4781941,0.0178391043229694,-0.276678727093956,-0.838220540669717,-0.5600516,0.08990185,3.808537
4814542,0.0971502393225856,-0.189048530634937,-0.92779636609199,-0.5680025,0.13379,3.814246
4846065,0.261318205701616,-0.25123802521963,-0.961509736842925,-0.5776482,0.1752699,3.813592
