Time_us,angl_accel_x,angl_accel_y,angl_accel_z,pos_x,pos_y,pos_z
694281,-0.121658307813585,-0.353121269715935,0.165394252931275,-0.1396708,-1.637588,1.55299
774858,-3.6408061590734,-0.963866904888304,-0.0449880501828768,-0.1681872,-1.62197,1.601333
825666,-4.77037697734441,-0.735169050009256,0.139799438154793,-0.1843263,-1.613596,1.646055
895810,-3.20168053954235,-0.877511938771489,0.110980962598525,-0.2051935,-1.607587,1.711781
965814,-3.27044797065098,-1.52357135565112,0.197270609681404,-0.2240084,-1.602383,1.776794
1047806,-2.55211665364543,-1.46834078620031,0.461003581021903,-0.2448764,-1.595055,1.864005
1137899,-2.18231727074564,-1.38646452097842,0.541083258356819,-0.2730625,-1.582654,1.960276
1239888,-2.11787814562785,-0.879550487454424,0.378931877794561,-0.3027796,-1.567492,2.072526
1322156,-2.37378228450788,-1.88252155096425,0.514914156164036,-0.3265155,-1.554255,2.15941
1427386,-2.3735478338615,-0.726503209977426,0.295224765128275,-0.3493496,-1.537326,2.269206
1509957,-2.89618852632329,-0.917500441914048,0.495014144763822,-0.3595341,-1.524643,2.359896
1581048,-3.12891512307153,-1.37931816466396,0.391697488775986,-0.3649661,-1.514711,2.430543
1664572,-2.52150097852005,-1.33832868464795,0.807534201083476,-0.3732681,-1.502695,2.510358
1748012,-2.23848935416176,-1.83410664071319,0.590152173654801,-0.3817881,-1.491407,2.589819
1852132,-2.12368136438396,-1.17076596492849,0.338482689385586,-0.3871108,-1.477865,2.686979
1935549,-2.43762068943194,-1.3515008117529,0.460906664397796,-0.3883916,-1.467405,2.756452
2030650,-2.61930108151171,-1.05480970299607,0.405078230517468,-0.3851166,-1.458086,2.833052
2114878,-2.77546025396905,-0.83664185456471,0.443811857083425,-0.3775185,-1.452583,2.897223
2184143,-3.20301638724382,-1.05211397875208,0.463119862996429,-0.3696116,-1.448419,2.957496
2258979,-3.11754873443374,-1.51630319984856,0.43021248825032,-0.3609018,-1.44213,3.009578
2342084,-2.54878817173886,-1.04951215940829,0.599656838604171,-0.351177,-1.431959,3.066367
2427555,-2.71123991307533,-0.885456079265847,0.452982972739542,-0.3417297,-1.420237,3.119664
2507390,-2.91516383011007,-1.00904783024428,0.671127709712251,-0.3313948,-1.406452,3.172044
2603160,-2.5643477691517,-0.964854696113536,0.540460284645694,-0.3208967,-1.387698,3.220479
2676095,-3.54590054959236,-1.15454691283775,0.609575886632355,-0.31064,-1.371948,3.259171
2749051,-3.22399386685974,-0.714251346548788,0.667179364879064,-0.3023235,-1.353878,3.29701
2820567,-3.23707657830146,-1.37034457743358,0.536151319225006,-0.2952551,-1.335658,3.334151
2913833,-2.28357865209828,-1.02458179730051,0.431921422619372,-0.2875493,-1.312094,3.379898
2987110,-3.22318932805553,-0.619993803155232,0.679198761971525,-0.2830784,-1.290828,3.410833
3051092,-3.33548836402232,-1.54759419778254,0.572105820422939,-0.2780707,-1.270685,3.440098
3131073,-2.33317087304864,-1.80632164800107,0.378895327543805,-0.2729217,-1.242496,3.470744
3216247,-2.27930568292209,-1.81643340600324,0.359844284280775,-0.2721668,-1.208085,3.502413
3392013,-1.17405807093165,-0.857377699795789,0.437074025148629,-0.2859607,-1.120339,3.566392
3506965,-1.88937899068277,-1.11169034100645,0.39910565014034,-0.2959277,-1.058521,3.595082
3590560,-2.36858245397725,-1.54576969540527,0.270848188215612,-0.304818,-1.00967,3.615526
3684484,-2.12482534664532,-1.32668996228014,0.196489841132302,-0.3157543,-0.9523104,3.633953
3807906,-1.81447314637798,-0.950635351314572,0.0878602722699355,-0.3327492,-0.871348,3.659639
3951384,-1.41993722634355,-0.874771154696027,0.0680612312044173,-0.3606103,-0.7689688,3.686396
4193070,-1.06361281162512,-0.352840330080678,0.0845506593209255,-0.4147876,-0.5715855,3.715894
4400907,-1.01083507250594,-0.0588978073761738,-0.673354817938532,-0.4652046,-0.3651197,3.751265
4678436,-0.90928336805715,0.0430242775140331,-0.203428414795496,-0.5331025,-0.0417818,3.794965
4948945,-0.542680103375386,0.666140966987632,0.175860180450086,-0.6092226,0.3182248,3.825192
5072942,-1.22317484394764,0.717907609855651,1.51269283649549,-0.6483753,0.5021742,3.832636
5195536,-1.40212212640237,1.15393781112612,0.621910954713789,-0.6866933,0.6930895,3.847624
5335147,-1.23162858793673,1.35223109483268,0.375643740547926,-0.7319288,0.9211855,3.866087
5448139,-1.6852318707076,1.38382521097728,0.0867714924586477,-0.7688251,1.12555,3.885954
5561968,-1.83850216474182,1.18223214674241,0.0420412244652409,-0.8046702,1.332731,3.89648
5676476,-1.75242647694689,1.11888998578221,-0.0677544906077707,-0.8369505,1.550656,3.916344
5769246,-1.86762269412937,1.64988975714653,-0.555136315202365,-0.8607711,1.736025,3.937746
5853979,-2.14172576390431,2.25339785171302,-0.456243995908659,-0.8808312,1.905763,3.954345
5924770,-2.82764531811681,1.66761534509491,-0.436866028727213,-0.8963599,2.047517,3.968227
6028379,-1.41757803557572,2.03620108402346,-0.349651171217529,-0.9166434,2.266917,3.990716
6111480,-1.81833866088811,2.2454183715396,-0.247116112541747,-0.9313723,2.453328,4.002214
6184930,-1.78493184016722,2.72861538280583,-0.414767759271704,-0.9422792,2.616471,4.011771
6258921,-2.03655814811344,2.93039410747523,-0.0768460066816092,-0.9508739,2.780642,4.020338
6329109,-2.01020706639568,2.8159026815841,-0.159974142353206,-0.9579377,2.949543,4.031794
6402152,-1.83054770591426,2.72091752355101,-0.195365104683066,-0.9637048,3.120603,4.041179
6477796,-1.83642778234617,2.81898670083941,-0.0541425493274301,-0.9693679,3.299419,4.04844
6547064,-1.89421777695228,2.97993670444659,-0.300085120305164,-0.9731773,3.466993,4.059687
6621074,-1.98529991585154,2.86469545317622,-0.239412284339692,-0.9758652,3.645365,4.068571
6694129,-1.78392393251299,3.09013939494062,-0.194632794244406,-0.976976,3.830041,4.07789
6754125,-2.12706743238368,3.50514803904881,-0.173702108773083,-0.9771951,3.979876,4.08461
6817828,-2.04067557667324,3.16416086365104,-0.479969828166691,-0.977138,4.139791,4.093174
6892034,-2.11064915569945,3.10577443948093,-0.535007493156603,-0.9765059,4.329739,4.102039
6951432,-2.57086257939673,3.50759583322411,-0.298494002681091,-0.9759816,4.48205,4.111982
7005035,-2.73735952099829,3.5271657719019,-0.353760725751516,-0.9756956,4.618316,4.118711
7066054,-2.66560956289755,3.43615677237275,-0.558850361280339,-0.9759821,4.778177,4.127232
7118934,-2.97565874234849,3.35270086586345,-0.397867348766518,-0.976685,4.917315,4.135275
7178953,-2.45333408817164,3.08935428541897,-0.297798974020618,-0.9782853,5.075367,4.144063
7244077,-2.21598635759915,2.82397892121887,-0.276968317777182,-0.9795672,5.248423,4.154808
7307122,-2.05026109154154,3.31999592240934,-0.226608831116473,-0.9807281,5.418052,4.165197
7367397,-1.95431815529243,3.58357775903717,0.000465614426261604,-0.9823211,5.579338,4.171268
