Time_us,x,y,yaw,V_x,V_y,Gyro_z
999600,0.600675,0.0941756,0.01578921,1.432247,0.1097045,-0.1012603
1099560,0.7595259,0.09210986,0.006381425,1.632527,0.09374449,-0.09275805
1199520,0.9395632,0.0849519,6.282641,1.835505,0.07629631,-0.06928149
1299480,1.138646,0.07833982,6.277418,2.043312,0.06138269,-0.04993891
1399440,1.35976,0.066281,6.273523,2.253086,0.04456224,-0.03587171
1499400,1.600729,0.05515692,6.270977,2.466948,0.03138608,-0.0229435
1599360,1.864479,0.03872477,6.269384,2.680551,0.01674046,-0.01183529
1699320,2.148299,0.0235275,6.268713,2.894169,0.006194121,-0.002751122
1799280,2.454988,0.002650144,6.268314,3.107525,-0.007000013,0.002189712
1900073,2.785152,-0.01660344,6.267986,3.324879,-0.01823928,0.002076692
2000033,3.135674,-0.04151603,6.268354,3.541568,-0.03009187,0.009307048
2099993,3.506253,-0.06439263,6.269228,3.754283,-0.03766964,0.0140911
2199953,3.899837,-0.09293333,6.270578,3.967203,-0.04599947,0.02122558
2299913,4.313383,-0.1186071,6.272128,4.180022,-0.05052065,0.02225843
2399873,4.750097,-0.1494363,6.273621,4.392962,-0.05769059,0.02313971
2499833,5.205949,-0.1770313,6.275764,4.586723,-0.05857478,0.02786309
2599793,5.681356,-0.2098405,6.27832,4.750709,-0.05959908,0.0334438
2699753,6.170349,-0.2384426,6.280861,4.886042,-0.05723422,0.03441174
2799713,6.673829,-0.2714621,0.0006261361,4.998279,-0.05500304,0.03691269
2899673,7.186143,-0.2999095,0.003784043,5.087545,-0.04832913,0.03955846
2999633,7.709506,-0.3325068,0.006872772,5.159635,-0.04469072,0.04005856
3099593,8.232671,-0.3599905,0.01009536,5.212604,-0.03706635,0.04039831
3199553,8.769618,-0.3909387,0.0132967,5.255343,-0.03198197,0.04072326
3299513,9.308397,-0.416528,0.01667784,5.282565,-0.02296325,0.04097414
3399473,9.853724,-0.4448363,0.02000983,5.302107,-0.01653467,0.04118128
3499433,10.39834,-0.4675858,0.02349264,5.310393,-0.006744022,0.04129207
3599393,10.94754,-0.4922632,0.02695792,5.316971,0.0009973859,0.04143886
3699353,11.49426,-0.5114104,0.03053724,5.311771,0.01178022,0.04131474
3799313,12.0443,-0.5319837,0.03409435,5.306239,0.02052662,0.04122991
3899273,12.59057,-0.5472221,0.03774982,5.29393,0.03201879,0.04122074
4000066,13.14491,-0.5636165,0.04143259,5.281845,0.04188543,0.04099209
4100026,13.68927,-0.5748827,0.04514773,5.263898,0.05405436,0.04099873
4199986,14.23568,-0.5870715,0.0488537,5.250779,0.06462003,0.04080308
4299946,14.77713,-0.5941918,0.05260195,5.229621,0.07719638,0.04064508
4399906,15.3197,-0.6016852,0.05634155,5.211694,0.0884122,0.04057308
4499866,15.85704,-0.6044686,0.05986175,5.193771,0.1005677,0.0392173
4599826,16.39572,-0.6079652,0.06261458,5.180564,0.1075688,0.0306694
4699786,16.92954,-0.6075032,0.06513095,5.161261,0.1147564,0.02767822
4799746,17.46436,-0.6077578,0.06764153,5.142983,0.1209184,0.02713812
4899706,17.99404,-0.6042952,0.07016087,5.124804,0.1289828,0.0271357
4999666,18.52515,-0.601,0.07267709,5.111206,0.1364265,0.02705756
5099626,19.04636,-0.5944367,0.07517441,5.097289,0.145445,0.02697579
5199586,19.57412,-0.5879281,0.07719367,5.087168,0.1514339,0.02304048
5299546,20.09748,-0.5787434,0.07847995,5.076553,0.1550599,0.01425446
5399506,20.62231,-0.5702146,0.07976446,5.069406,0.1582478,0.01407434
5499466,21.14332,-0.5591796,0.08104953,5.061152,0.1627509,0.01429537
5599426,21.66652,-0.5483208,0.0823347,5.056031,0.1669485,0.01426741
5699386,22.18588,-0.5352181,0.08362878,5.049663,0.1724058,0.01431725
5799346,22.70691,-0.5225444,0.08393552,5.046276,0.1724043,0.005292927
5899306,23.22462,-0.5084946,0.08399568,5.041764,0.1723886,0.001347843
5999266,23.74463,-0.4955595,0.08407398,5.039729,0.1717941,0.001883351
6100059,24.26643,-0.4810146,0.0841445,5.036152,0.1722351,0.00190541
6200019,24.78539,-0.4673029,0.0842288,5.035023,0.1722848,0.001924014
6299979,25.30114,-0.4524089,0.08431495,5.032328,0.1732097,0.001986552
6399939,25.81836,-0.4385831,0.08439811,5.025929,0.1731799,0.001894034
6499899,26.3323,-0.4235142,0.08449352,5.022421,0.1743221,0.002027629
6599859,26.84776,-0.4091956,0.08458072,5.019037,0.1749858,0.001861978
6699819,27.36031,-0.3937633,0.08467119,5.016389,0.1764523,0.001903201
6799779,27.87484,-0.3792198,0.0847743,5.013901,0.1773683,0.001918308
6899739,28.38656,-0.3638687,0.08365663,5.012607,0.1728829,-0.008643638
6999699,28.90015,-0.3499379,0.08255168,5.010903,0.1679981,-0.01077145
7099659,29.41115,-0.335551,0.08144271,5.0099,0.1639769,-0.01027964
7199619,29.91902,-0.3228135,0.08035095,5.008602,0.1591679,-0.01031795
7299579,30.42944,-0.3094213,0.07924838,5.00786,0.1552303,-0.0102593
7399539,30.94187,-0.2974153,0.07816257,5.00685,0.1505959,-0.01020458
7499499,31.452,-0.2849725,0.07706302,5.006221,0.1468701,-0.01025009
7599459,31.96426,-0.2740219,0.07597539,5.005146,0.1423854,-0.01029729
7699419,32.4742,-0.2626118,0.07488029,5.006618,0.1388589,-0.01025755
7799379,32.98601,-0.2526986,0.07380214,5.005759,0.1343783,-0.01023702
7899339,33.49551,-0.2423848,0.07247546,5.005423,0.1295085,-0.01140308
7999299,34.00674,-0.2338896,0.07115797,5.004479,0.1236719,-0.01259682
8099259,34.51592,-0.2250903,0.06958569,5.005988,0.117751,-0.01505109
8200052,35.03196,-0.2181311,0.06826248,5.004765,0.1119182,-0.01305106
8300012,35.54095,-0.2109884,0.0669404,5.004276,0.1070236,-0.01284478
8399972,36.05201,-0.2057873,0.06538942,5.005132,0.100083,-0.0141189
8499932,36.56088,-0.2000913,0.06383098,5.004593,0.09388071,-0.01539742
8599892,37.07166,-0.1960248,0.06276817,5.005042,0.08928409,-0.01103788
8699852,37.58045,-0.191545,0.06120678,5.004483,0.08311933,-0.01526714
8799812,38.09145,-0.189031,0.06014314,5.005006,0.07851399,-0.01112228
8899772,38.60037,-0.1858867,0.05882762,5.004182,0.07342621,-0.01118915
8999732,39.11135,-0.1844724,0.05776323,5.004495,0.06897743,-0.01134613
9099692,39.62039,-0.182453,0.05668667,5.0054,0.06541095,-0.01010586
9199652,40.13145,-0.1822841,0.05561785,5.003683,0.0604989,-0.01023519
9299612,40.63542,-0.181561,0.05454731,5.004496,0.05664442,-0.01025056
9399572,41.14629,-0.1827422,0.05348006,5.004472,0.05170615,-0.01025973
9499532,41.65527,-0.1832312,0.05239459,5.004974,0.04778667,-0.01025206
9599492,42.16637,-0.1856392,0.05132323,5.00483,0.0427627,-0.01027501
9699452,42.67549,-0.1872996,0.05023919,5.003388,0.03866168,-0.01023974
9799412,43.18683,-0.1908501,0.04916886,5.005209,0.03374539,-0.01024346
9899372,43.69607,-0.1937271,0.04808191,5.003671,0.02955433,-0.01025503
9999332,44.20742,-0.1988535,0.04701004,5.005209,0.02429009,-0.01022074
10099292,44.71669,-0.2031282,0.04592408,5.003403,0.01991284,-0.01021819
10200085,45.23308,-0.2094191,0.04483993,5.004784,0.01462002,-0.01021218
10300045,45.74248,-0.2148584,0.04422857,5.004549,0.01275441,-0.006573362
10400005,46.25377,-0.2223102,0.04338734,5.003637,0.008415045,-0.007273099
10499965,46.76294,-0.2284696,0.043017,5.003243,0.007800661,-0.002533315
10599925,47.27409,-0.2364626,0.04289391,5.004084,0.007180601,-0.001355103
10699885,47.78323,-0.2429444,0.04276533,5.003349,0.007667984,0.001031711
10799845,48.29421,-0.2513478,0.04264235,5.003803,0.006791364,-0.0008851311
10899805,48.80316,-0.2581914,0.04274835,5.002853,0.008207154,0.002066605
10999765,49.31388,-0.266785,0.0428662,5.003224,0.008405589,0.002018662
11099725,49.82267,-0.2737451,0.04297002,5.001932,0.009772412,0.001918569
11199685,50.33323,-0.2824514,0.04308237,4.994317,0.009485975,0.001954546
