Time_us,x,y,yaw,V_x,V_y,Gyro_z
999995,0,0,3.065392,-1.183991,0.06888025,0.03589282
1099940,-0.116528,0.00266899999999981,3.073019,-1.163159,0.05128802,0.07206931
1199942,-0.22975,0.00332099999999991,3.078836,-1.12294,0.02395567,0.0647025
1299945,-0.341422,-0.000428000000000095,3.087595,-1.115179,0.02193495,0.09256192
1399950,-0.450808,-0.0112910000000002,3.098614,-1.103699,-0.0439641,0.1077009
1499986,-0.558325,-0.0235560000000001,3.103374,-1.088927,-0.02070622,0.0681871
1599983,-0.665732,-0.035668,3.106914,-1.103525,-0.0368406,0.03129098
1699943,-0.774395,-0.0525990000000001,3.11235,-1.090258,-0.02624377,0.04229804
1799957,-0.88315,-0.0712730000000001,3.119652,-1.078706,-0.08568279,0.07025005
1899941,-0.99112,-0.0902240000000001,3.125762,-1.066195,-0.05916376,0.05433469
2000013,-1.095789,-0.108021,3.129625,-1.036571,-0.05438778,0.04204688
2099973,-1.197611,-0.126142,3.133853,-1.012633,-0.1483336,0.04151313
2199952,-1.297576,-0.144076,3.136638,-0.9837366,-0.1134055,0.026843
2299954,-1.394651,-0.163079,3.141238,-1.002195,-0.112811,0.04405097
2399948,-1.491739,-0.177444,3.140187,-1.024738,-0.08476192,-0.007259587
2499990,-1.588712,-0.188677,3.138862,-0.9974396,-0.1049543,-0.006191932
2599954,-1.685586,-0.199297,3.142784,-1.009178,-0.1236019,0.0318925
2699948,-1.782887,-0.214512,3.14793,-1.018719,-0.14945,0.04418284
2799989,-1.880467,-0.230183,3.148596,-1.020507,-0.0694473,0.01030616
2899947,-1.97803,-0.243616,3.146566,-1.003405,-0.1358702,-0.0244158
3000013,-2.075566,-0.25622,3.145316,-1.011338,-0.08020239,-0.02743878
3099974,-2.173858,-0.271063,3.141499,-1.002574,-0.1231903,-0.03674123
3199954,-2.27039,-0.285307,3.135471,-0.9901699,-0.162111,-0.06656575
3299976,-2.362521,-0.301079,3.131514,-0.9838338,-0.07443074,-0.04637864
3399950,-2.453776,-0.315642,3.125847,-0.9823042,-0.1043488,-0.05411451
3500001,-2.54535,-0.327421,3.119734,-0.9598908,-0.08723983,-0.06131885
3599972,-2.637142,-0.339016,3.115269,-0.9636043,-0.08933749,-0.06480324
3699945,-2.729683,-0.351636,3.109682,-0.9803313,-0.1051821,-0.05224991
3799967,-2.824315,-0.363843,3.102664,-0.959895,-0.0942153,-0.07357508
3899952,-2.9213589,-0.372562,3.097393,-1.025249,-0.06403733,-0.06437982
4000013,-3.0207869,-0.381389,3.093589,-1.008404,-0.0796136,-0.03915372
4099954,-3.1209551,-0.388829,3.086148,-0.9952257,-0.09245324,-0.06956301
4199950,-3.2206218,-0.396976,3.079065,-1.019212,-0.0808318,-0.07625148
4299957,-3.3203142,-0.403569,3.07467,-0.9971149,-0.0545053,-0.05414792
4399951,-3.4166333,-0.407978,3.06898,-1.001004,-0.03772178,-0.06265908
4499990,-3.5124252,-0.410258,3.062397,-1.007119,-0.03684475,-0.06756143
