name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff, start_time_x, start_time_y
attack-rhs_1718_1886_0.3_1.2, 1, 2.405500, 75.431305, 900, 1068, 108059, 8.9900, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 899.9900, 899.9900
attack-rhs_1719_1886_0.3_1.2, 1, 2.405750, 66.469075, 901, 1068, 108059, 9.0000, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5077, 1339.2268, 2382.2514, 1333.3103, 5.9631, 900.9900, 900.9900
attack-rhs_1720_1886_0.3_1.2, 1, 2.405534, 74.606713, 902, 1068, 108059, 9.0100, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 901.9900, 901.9900
attack-rhs_1721_1886_0.3_1.2, 1, 2.405537, 75.420049, 903, 1068, 108059, 9.0200, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 902.9900, 902.9800
attack-rhs_1722_1886_0.3_1.2, 1, 2.405489, 74.197540, 904, 1068, 108059, 9.0300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 903.9900, 903.9800
attack-rhs_1723_1886_0.3_1.2, 1, 2.405513, 74.758236, 905, 1068, 108059, 9.0400, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 904.9900, 904.9900
attack-rhs_1724_1886_0.3_1.2, 1, 2.405580, 74.019013, 906, 1068, 108059, 9.0500, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9630, 905.9900, 905.9900
attack-rhs_1725_1886_0.3_1.2, 1, 2.405534, 73.157809, 907, 1068, 108059, 9.0600, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 906.9800, 906.9900
attack-rhs_1726_1886_0.3_1.2, 1, 2.405545, 74.455185, 908, 1068, 108059, 9.0700, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 907.9900, 907.9900
attack-rhs_1727_1886_0.3_1.2, 1, 2.405450, 76.488453, 909, 1068, 108059, 9.0800, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9628, 908.9900, 908.9900
attack-rhs_1728_1886_0.3_1.2, 1, 2.405451, 76.444390, 910, 1068, 108059, 9.0900, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9628, 909.9800, 909.9900
attack-rhs_1729_1886_0.3_1.2, 1, 2.405556, 74.244672, 911, 1068, 108059, 9.1000, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9629, 910.9900, 910.9900
attack-rhs_1730_1886_0.3_1.2, 1, 2.405545, 74.464811, 912, 1068, 108059, 9.1100, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 911.9900, 911.9900
attack-rhs_1731_1886_0.3_1.2, 1, 2.405546, 74.441631, 913, 1068, 108059, 9.1200, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 912.9900, 912.9800
attack-rhs_1732_1886_0.3_1.2, 1, 2.405546, 74.435292, 914, 1068, 108059, 9.1300, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 913.9900, 913.9900
attack-rhs_1733_1886_0.3_1.2, 1, 2.405503, 76.468330, 915, 1068, 108059, 9.1400, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 914.9900, 914.9900
attack-rhs_1734_1886_0.3_1.2, 1, 2.405540, 74.476555, 916, 1068, 108059, 9.1500, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 915.9900, 915.9900
attack-rhs_1735_1886_0.3_1.2, 1, 2.405593, 74.106037, 917, 1068, 108059, 9.1600, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2267, 2382.2514, 1333.3103, 5.9630, 916.9900, 916.9900
attack-rhs_1736_1886_0.3_1.2, 1, 2.405503, 75.349087, 918, 1068, 108059, 9.1700, 10.6700, 1080.5800, 1069.9100, 1069.9100, 2381.5078, 1339.2266, 2382.2514, 1333.3103, 5.9629, 917.9900, 917.9900
