name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff
attack-lhs_474_524_0.7_1.1, 1, 1.115088, 1.117140, 41, 91, 8897, 0.4000, 0.9000, 88.9600, 88.0600, 88.0600, -228.9303, 60.6052, -228.8840, 58.7898, 1.8160
attack-lhs_475_524_0.7_1.1, 1, 1.115058, 1.117109, 42, 91, 8897, 0.4100, 0.9000, 88.9600, 88.0600, 88.0600, -228.9303, 60.6052, -228.8840, 58.7898, 1.8159
attack-lhs_476_524_0.7_1.1, 1, 1.116242, 1.117042, 43, 91, 8898, 0.4200, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5658, -228.8715, 58.7495, 1.8170
attack-lhs_477_524_0.7_1.1, 1, 1.116180, 1.116981, 44, 91, 8898, 0.4300, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5657, -228.8715, 58.7495, 1.8170
attack-lhs_478_524_0.7_1.1, 1, 1.116140, 1.116942, 45, 91, 8898, 0.4400, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5657, -228.8715, 58.7495, 1.8169
attack-lhs_479_524_0.7_1.1, 1, 1.116087, 1.116889, 46, 91, 8898, 0.4500, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5656, -228.8715, 58.7495, 1.8169
attack-lhs_480_524_0.7_1.1, 1, 1.116078, 1.116881, 47, 91, 8898, 0.4600, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5656, -228.8715, 58.7495, 1.8169
attack-lhs_481_524_0.7_1.1, 1, 1.116060, 1.116866, 48, 91, 8898, 0.4700, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5656, -228.8715, 58.7495, 1.8168
attack-lhs_482_524_0.7_1.1, 1, 1.115967, 1.116771, 49, 91, 8898, 0.4800, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5655, -228.8715, 58.7495, 1.8167
attack-lhs_483_524_0.7_1.1, 1, 1.115938, 1.116721, 50, 91, 8898, 0.4900, 0.9000, 88.9700, 88.0700, 88.0700, -228.9218, 60.5655, -228.8715, 58.7495, 1.8167
