name, accident, accident_maxdev, max_dev, attack_start_from_init, aggr_start_from_init, accident_from_init, attack_start_from_init_time, aggr_start_from_init_time, accident_time, attack_duration, success_attack_duration, crash_x, crash_y, spoofed_gps_x, spoofed_gps_y, pos_diff, start_time_x, start_time_y
attack-rhs_9021_9071_0.5_1.2, 1, 1.124986, 32.110007, 41, 91, 9116, 0.4000, 0.9000, 91.1500, 90.2500, 90.2500, -716.1623, 160.1006, -715.6726, 158.4274, 1.7434, 40.9900, 41.0100
attack-rhs_9022_9071_0.5_1.2, 1, 1.124422, 32.124235, 42, 91, 9116, 0.4100, 0.9000, 91.1500, 90.2500, 90.2500, -716.1622, 160.1001, -715.6726, 158.4274, 1.7429, 41.9900, 42.0100
attack-rhs_9023_9071_0.5_1.2, 1, 1.124972, 32.109576, 43, 91, 9116, 0.4200, 0.9000, 91.1500, 90.2500, 90.2500, -716.1623, 160.1006, -715.6726, 158.4274, 1.7434, 42.9800, 43.0100
attack-rhs_9024_9071_0.5_1.2, 1, 1.116565, 32.199136, 44, 91, 9116, 0.4300, 0.9000, 91.1500, 90.2500, 90.2500, -716.1599, 160.0925, -715.6726, 158.4274, 1.7350, 43.9900, 44.0100
attack-rhs_9025_9071_0.5_1.2, 1, 1.116541, 32.094409, 45, 91, 9169, 0.4400, 0.9000, 91.6800, 90.7800, 90.7800, -716.1499, 160.1194, -715.6452, 158.3952, 1.7965, 44.9900, 45.0100
attack-rhs_9026_9071_0.5_1.2, 1, 1.124722, 32.105808, 46, 91, 9116, 0.4500, 0.9000, 91.1500, 90.2500, 90.2500, -716.1622, 160.1004, -715.6726, 158.4274, 1.7432, 45.9900, 46.0100
attack-rhs_9027_9071_0.5_1.2, 1, 1.117988, 31.913863, 47, 91, 9170, 0.4600, 0.9000, 91.6900, 90.7900, 90.7900, -716.1486, 160.1210, -715.6432, 158.3942, 1.7992, 46.9900, 47.0100
attack-rhs_9028_9071_0.5_1.2, 1, 1.125350, 32.104093, 48, 91, 9116, 0.4700, 0.9000, 91.1500, 90.2500, 90.2500, -716.1624, 160.1010, -715.6726, 158.4274, 1.7438, 47.9800, 48.0100
attack-rhs_9029_9071_0.5_1.2, 1, 1.124927, 32.110151, 49, 91, 9116, 0.4800, 0.9000, 91.1500, 90.2500, 90.2500, -716.1623, 160.1006, -715.6726, 158.4274, 1.7434, 48.9900, 49.0100
attack-rhs_9030_9035_0.5_1.2, 0, 1.124927, 0.495488, 50, 55, 1, 0.4900, 0.5400, 0.0000, 340.4500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 340.9700, 339.8900
