time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9
1544678981.1820288,2.2172804988947945,0.6549848764706645,127.04081458333333,37.52786906666665,29.1828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00028900000000000003,0.0017640000000000002,0.0018489999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678982.182668,2.2172788280620135,0.6549852415353664,127.04071885166668,37.527889983333324,28.9941,-8.406132828427078,2.4956066266915418,-0.18857945996947884,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.000256,0.0016,0.0017640000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678983.1820946,2.21727720510943,0.6549855777148693,127.04062586333332,37.527909245,28.871,-8.177587316158519,2.3098439352717883,-0.12317062562814697,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00028900000000000003,0.0018489999999999997,0.002025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678984.1826944,2.2172756611620854,0.6549859160760335,127.04053740166667,37.52792863166666,28.6539,-7.767921228609827,2.3126736759543536,-0.2169698482184115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.0019359999999999998,0.002116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678985.1844625,2.2172740884168074,0.6549862710469146,127.04044729,37.52794897,28.6013,-7.902215578902807,2.4184282609450714,-0.0525071614481706,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.0019359999999999998,0.002116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678986.183469,2.217272400334355,0.6549866753233471,127.04035057,37.527972133333336,28.6018,-8.502078756881469,2.7510790219985646,0.000500497239114142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.002025,0.002116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678987.183011,2.2172706081430125,0.654987132919588,127.04024788499999,37.52799835166666,28.5148,-9.017821514518582,3.099744731155139,-0.08703986443986604,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.002025,0.002116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678988.182535,2.2172687218493343,0.6549876108198263,127.04013980833331,37.52802573333334,28.3488,-9.491977896687184,3.2388925105295545,-0.16607907388461807,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.0019359999999999998,0.002116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678989.18682,2.2172667654225098,0.6549880981448423,127.04002771333334,37.52805365500001,28.1433,-9.79931355018959,3.29058193920785,-0.20462316984376927,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.00032399999999999985,0.002116,0.002304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678990.1864812,2.217264798669154,0.6549885847135488,127.0399150266667,37.528081533333335,27.9615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.000361,0.002304,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678991.1843877,2.2172628498054214,0.6549890765182431,127.03980336499998,37.528109711666666,27.7671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0004,0.0024010000000000004,0.002704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678992.1828792,2.2172608856991474,0.6549895691665132,127.03969082999997,37.52813793833332,27.4917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.002704,0.0029159999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678993.1831434,2.2172588692620856,0.6549900776972799,127.03957529666667,37.528167075000006,27.2888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.002704,0.003025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678994.1834095,2.217256890378691,0.6549905911440568,127.03946191500002,37.528196493333326,27.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0013689999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678995.1844416,2.2172548387441546,0.6549911298690193,127.03934436499999,37.52822736,26.8747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0013689999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678996.182393,2.217252723346924,0.6549916754007659,127.03922316166667,37.52825861666667,26.7533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0013689999999999998,0.003249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678997.1832511,2.2172505673707876,0.6549922072607666,127.03909963333332,37.52828909,26.6782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0012959999999999998,0.0029159999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678998.1822996,2.2172484097947662,0.6549927395570997,127.03897601333333,37.52831958833334,26.5178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0012959999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544678999.1824644,2.2172462216173057,0.6549932927682948,127.03885064,37.52835128499999,26.3505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00048399999999999995,0.0013689999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679000.18233,2.21724398570509,0.6549938437978284,127.03872253166669,37.52838285666666,26.1814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0012959999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679001.182562,2.2172417730930194,0.6549944040776071,127.03859575833334,37.52841495833333,25.9682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00044100000000000004,0.0013689999999999998,0.0031360000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679002.182813,2.2172396211602297,0.6549949585977995,127.03847246166669,37.528446730000006,25.7961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00048399999999999995,0.0016,0.0034809999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679003.1823509,2.2172375920986185,0.6549954718118659,127.03835620500001,37.528476135,25.6484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00048399999999999995,0.001521,0.0034809999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679004.1824007,2.217235707084849,0.6549959493339493,127.03824820166669,37.528503495,25.4915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.00048399999999999995,0.001521,0.0034809999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679005.1822615,2.217233944535015,0.6549963971272577,127.03814721500001,37.52852915166666,25.3547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.000529,0.0016810000000000002,0.0034809999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679006.180118,2.2172323920937336,0.6549970282383152,127.03805826666665,37.52856531166666,20.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,2.9756250000000004,8.767520999999999,16.040025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544679007.1801357,2.2172306291657446,0.6549974668395562,127.03795725833331,37.52859044166666,19.9302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,2.920681,8.608356,15.752960999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
